;name;average_sentiment;cat_detailed;cat_sites_reduced_more;average_age;average_way_travel;latitud;longitud;address;area;rating;user_age_encoded;way_travel_encoded;sentiment_encoded;destination_encoded;cat_sites_reduced_more_encoded
1918;Refugi Antiaeri de La Lira;curious;point_of_interest;points of interest, like squares and sculptures;old;in couple;41,4328173;2,1874191;Carrer de Coroleu, 08030 Barcelona, España;Barcelona;0;2;1;3;5;3
1919;Casa Lleó Morera;history_freak;historic_building;historic building, museums and archaeological rests;young;in family;41,3911279;2,1654696;Pg. de Gràcia, 35, 08007 Barcelona, España;Barcelona;4,8;0;3;4;5;1
1920;Refugi Antiaeri de la Sagrera;curious;point_of_interest;points of interest, like squares and sculptures;old;in couple;41,4328173;2,1874191;Carrer de Coroleu, 08030 Barcelona, España;Barcelona;0;2;1;3;5;3
1921;Casa Queralt;history_freak;historic_building;historic building, museums and archaeological rests;adult;in family;41,4193509;2,147935;Carrer de Pineda, 10, 08023 Barcelona, España;Barcelona;4;1;3;4;5;1
1922;Reial Acadèmia de Ciències i Arts de Barcelona;history_freak;museum;historic building, museums and archaeological rests;adult;in couple;41,3841403;2,1706322;La Rambla, 115, 08001 Barcelona, España;Barcelona;4,6;1;1;4;5;1
1923;Reial Acadèmia de Medicina de Catalunya;history_freak;museum;historic building, museums and archaeological rests;old;in family;41,3816392;2,1694704;C/ del Carme, 47, 08001 Barcelona, España;Barcelona;4,6;2;3;4;5;1
1924;Reial Club de Tennis Barcelona - 1899;curious;sport;food, music, seaside, sport and others;old;alone;41,3925651;2,1176051;C/ de Bosch i Gimpera, 5-13, 08034 Barcelona, España;Barcelona;4,4;2;0;3;5;8
1925;Museu de Ciències Naturals de Barcelona;history_freak;museum;historic building, museums and archaeological rests;young;in groups;41,4111948;2,2211093;Plaza Leonardo Da Vinci, 4-5, 08019 Barcelona, España;Barcelona;4,4;0;2;4;5;1
1926;Religioses de la Mare de Déu de la Mercè;curious;historic_building;historic building, museums and archaeological rests;young;in groups;41,3794558;2,1796035;Carrer de la Mercè, 1, 08002 Barcelona, España;Barcelona;4,6;0;2;3;5;1
1927;Parc de Can Sabaté;relax;park;town, parks or lookouts;adult;in family;41,3630674;2,1383975;C/ de la Mare de Déu de Port, 379, 08038 Barcelona, España;Barcelona;4;1;3;2;5;2
1928;Residència Assistencial per a Gent Gran Refugi d'Obreres;curious;historic_building;historic building, museums and archaeological rests;old;in family;41,4082311;2,1486019;Av. de la República Argentina, 16, 08023 Barcelona, España;Barcelona;4,4;2;3;3;5;1
1929;Parròquia de Sant Joan de Gràcia;history_freak;religious;religious;young;alone;41,4053835;2,1566198;Carrer de la Santa Creu, 2, 08024 Barcelona, España;Barcelona;4,2;0;0;4;5;5
1930;Residència Assistida per a Gent Gran Llars Mundet;curious;historic_building;historic building, museums and archaeological rests;young;in family;41,4390382;2,202505;Carrer d'Augusto Cèsar Sandino, 7, 08030 Barcelona, España;Barcelona;3,5;0;3;3;5;1
1931;Parc de la Barceloneta;relax;park;town, parks or lookouts;old;in groups;41,3825712;2,1926235;Pg. Marítim de la Barceloneta, 15, 08002 Barcelona, España;Barcelona;4,3;2;2;2;5;2
1932;Residència Salesiana Martí Codolar;history_freak;historic_building;historic building, museums and archaeological rests;adult;in family;41,4287193;2,1494309;Av. del Cardenal Vidal i Barraquer, 15, 08035 Barcelona, España;Barcelona;4,1;1;3;4;5;1
1933;Casa Fargas;history_freak;historic_building;historic building, museums and archaeological rests;old;alone;41,3903663;2,1641697;Rambla de Catalunya, 47, 08007 Barcelona, España;Barcelona;3,5;2;0;4;5;1
1934;Cases Josefa Villanueva;history_freak;historic_building;historic building, museums and archaeological rests;young;in groups;41,3951117;2,1667028;C/ de València, 312, 08009 Barcelona, España;Barcelona;4,5;0;2;4;5;1
1935;Restaurant Bonanova;curious;food;food, music, seaside, sport and others;old;in couple;41,4061149;2,1349719;C/ de Sant Gervasi de Cassoles, 103, 08022 Barcelona, España;Barcelona;4,4;2;1;3;5;8
1936;La Plaça del Rom Cremat;curious;square;points of interest, like squares and sculptures;old;alone;41,422141;2,1831033;Carrer de Pinar del Rio, 11, 08027 Barcelona, España;Barcelona;4;2;0;3;5;3
1937;La Plaça del Mercadal;relax;square;points of interest, like squares and sculptures;adult;alone;41,4346147;2,1881994;Plaça del Mercadal, 08030 Barcelona, España;Barcelona;4,214285714;1;0;2;5;3
1938;Restaurant Can Cortada;curious;food;food, music, seaside, sport and others;old;in family;41,4363068;2,1524283;Av. de l'Estatut de Catalunya, s/n, 08035 Barcelona, España;Barcelona;4,2;2;3;3;5;8
1939;Restaurant Dos Torres;curious;food;food, music, seaside, sport and others;old;in groups;41,398168;2,1288901;Via Augusta, 300, 08017 Barcelona, España;Barcelona;4,2;2;2;3;5;8
1940;Restaurant El Asador de Aranda *Av Tibidabo;curious;food;food, music, seaside, sport and others;adult;in couple;41,4133174;2,1345102;Av. del Tibidabo, 31, 08022 Barcelona, España;Barcelona;4,4;1;1;3;5;8
1941;Parròquia de Santa Maria de Vallvidrera;history_freak;religious;religious;young;in family;41,4133593;2,1053196;Carrer l'Actor Morano, 9, 08017 Barcelona, España;Barcelona;4;0;3;4;5;5
1942;Sala El Molino;curious;cultural_center;experiences, cultural centers, theaters and music;old;in groups;41,3744862;2,1672242;Carrer de Vila i Vilà, 99, 08004 Barcelona, España;Barcelona;4,3;2;2;3;5;4
1943;Jardins Laribal;relax;park;town, parks or lookouts;young;alone;41,368354;2,1569403;Passeig de Santa Madrona, 2, 08038 Barcelona, España;Barcelona;4,5;0;0;2;5;2
1944;Sala Lliure de Gràcia;curious;cultural_center;experiences, cultural centers, theaters and music;adult;in couple;41,4027398;2,156029;C. del Montseny, 47, 08012 Barcelona, España;Barcelona;4,5;1;1;3;5;4
